epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1795,2.1137,3.26803,1.73061,0.22789,0.39875,0.24399,0.12224,2.43386,4.22446,2.1605,0.000415076,0.000415076,0.000415076
2,185.14,2.08978,2.46748,1.69577,0.39787,0.31183,0.28146,0.14491,2.41388,3.04158,2.09769,0.000815274,0.000815274,0.000815274
3,272.428,2.06045,2.28473,1.68009,0.28405,0.30543,0.21717,0.08852,2.33501,3.09548,2.01344,0.00119897,0.00119897,0.00119897
4,361.593,2.03935,2.20211,1.6543,0.37493,0.26282,0.2309,0.09277,2.43516,3.60165,2.04647,0.00117575,0.00117575,0.00117575
5,450.451,1.97897,2.12197,1.6226,0.60022,0.34172,0.40523,0.21878,2.24854,2.76989,1.90732,0.001151,0.001151,0.001151
6,538.1,1.94182,2.05129,1.59357,0.55711,0.34701,0.35712,0.17295,2.29057,3.02853,1.91865,0.00112625,0.00112625,0.00112625
7,625.396,1.91373,2.00487,1.56607,0.48672,0.409,0.40336,0.21587,2.14932,2.55602,1.7867,0.0011015,0.0011015,0.0011015
8,712.477,1.88816,1.96496,1.55847,0.45507,0.46593,0.42181,0.22571,2.13696,2.47151,1.79533,0.00107675,0.00107675,0.00107675
9,800.177,1.86774,1.92363,1.54184,0.476,0.43041,0.41641,0.21689,2.14666,2.70876,1.83835,0.001052,0.001052,0.001052
10,887.658,1.85126,1.88471,1.52192,0.47849,0.46779,0.43784,0.24458,2.11189,2.47512,1.76471,0.00102725,0.00102725,0.00102725
11,975.049,1.82026,1.85108,1.50107,0.47793,0.40523,0.39978,0.20937,2.11233,2.40794,1.74815,0.0010025,0.0010025,0.0010025
12,1062.96,1.80404,1.83298,1.50068,0.51775,0.49485,0.48362,0.25192,2.06687,2.3638,1.76673,0.00097775,0.00097775,0.00097775
13,1149.87,1.7851,1.80381,1.48172,0.55304,0.45728,0.45877,0.24296,2.05266,2.36932,1.71083,0.000953,0.000953,0.000953
14,1236.9,1.767,1.78008,1.47381,0.50059,0.49234,0.46825,0.23994,2.05619,2.3496,1.70321,0.00092825,0.00092825,0.00092825
15,1323.92,1.75616,1.74003,1.46122,0.53682,0.48926,0.48795,0.26257,2.05007,2.31578,1.71185,0.0009035,0.0009035,0.0009035
16,1411.63,1.75433,1.75102,1.4647,0.53842,0.43382,0.43647,0.21252,2.06297,2.37642,1.7002,0.00087875,0.00087875,0.00087875
17,1498.31,1.73819,1.72296,1.45462,0.53233,0.51443,0.50054,0.24979,2.04484,2.37061,1.69019,0.000854,0.000854,0.000854
18,1584.33,1.70835,1.69936,1.44973,0.58026,0.53803,0.53487,0.30664,2.00456,2.14633,1.67292,0.00082925,0.00082925,0.00082925
19,1671.15,1.71079,1.67937,1.43696,0.53058,0.51468,0.51674,0.28614,2.01082,2.20748,1.71198,0.0008045,0.0008045,0.0008045
20,1757.05,1.68416,1.65178,1.4219,0.54003,0.4602,0.47362,0.24873,2.00179,2.17391,1.65642,0.00077975,0.00077975,0.00077975
21,1843.4,1.69511,1.66141,1.42447,0.58433,0.51367,0.52073,0.27816,1.95664,2.18497,1.6317,0.000755,0.000755,0.000755
22,1929.85,1.66811,1.61791,1.40828,0.51201,0.52011,0.51027,0.27365,2.06954,2.32249,1.75929,0.00073025,0.00073025,0.00073025
23,2016.53,1.68545,1.61552,1.41187,0.58729,0.48762,0.52045,0.28085,1.97936,2.14848,1.65753,0.0007055,0.0007055,0.0007055
24,2102.61,1.66573,1.62307,1.41653,0.59216,0.52269,0.52913,0.29155,1.9595,2.13805,1.63618,0.00068075,0.00068075,0.00068075
25,2189.02,1.66334,1.60892,1.40916,0.5735,0.53061,0.54327,0.3135,1.96168,2.12381,1.6608,0.000656,0.000656,0.000656
26,2276.09,1.65998,1.58852,1.40431,0.58838,0.55322,0.55889,0.31702,1.94956,2.1025,1.62252,0.00063125,0.00063125,0.00063125
27,2362.31,1.64076,1.57075,1.39195,0.62689,0.54027,0.5639,0.31827,1.94397,2.04847,1.63432,0.0006065,0.0006065,0.0006065
28,2448.79,1.64284,1.55859,1.38653,0.62066,0.55575,0.56553,0.31235,1.92104,2.11284,1.59364,0.00058175,0.00058175,0.00058175
29,2534.92,1.63656,1.55697,1.38581,0.62456,0.56143,0.57078,0.32266,1.93626,2.01175,1.60341,0.000557,0.000557,0.000557
30,2621.66,1.63121,1.55259,1.37922,0.61687,0.56752,0.57665,0.31215,1.91745,2.07053,1.60995,0.00053225,0.00053225,0.00053225
31,2707.51,1.62146,1.54121,1.38165,0.61466,0.5754,0.57875,0.32716,1.92665,2.01005,1.61077,0.0005075,0.0005075,0.0005075
32,2793.8,1.6001,1.51701,1.37201,0.62337,0.55524,0.57444,0.32307,1.90698,2.03923,1.58056,0.00048275,0.00048275,0.00048275
33,2880.01,1.59953,1.51557,1.36493,0.62895,0.53648,0.57088,0.32805,1.91306,1.99257,1.58698,0.000458,0.000458,0.000458
34,2966.32,1.58963,1.49493,1.36463,0.64539,0.56987,0.5893,0.33816,1.89568,1.96217,1.57995,0.00043325,0.00043325,0.00043325
35,3052.56,1.58275,1.48426,1.35848,0.62174,0.57927,0.5838,0.32626,1.90859,2.01043,1.58026,0.0004085,0.0004085,0.0004085
36,3138.97,1.57642,1.48384,1.35674,0.64886,0.55516,0.58575,0.33769,1.8937,1.93702,1.56977,0.00038375,0.00038375,0.00038375
37,3225.42,1.57567,1.48344,1.35501,0.63455,0.57829,0.58136,0.32586,1.90508,1.95479,1.58295,0.000359,0.000359,0.000359
38,3313.22,1.57732,1.46774,1.34946,0.64684,0.57434,0.59195,0.33381,1.8786,1.92216,1.56691,0.00033425,0.00033425,0.00033425
39,3401.99,1.57009,1.46415,1.35013,0.66137,0.55765,0.58071,0.31898,1.8843,1.91701,1.56131,0.0003095,0.0003095,0.0003095
40,3489.51,1.55592,1.44037,1.33527,0.63542,0.57138,0.58541,0.3233,1.88269,1.94748,1.56444,0.00028475,0.00028475,0.00028475
41,3584.73,1.54989,1.34286,1.33118,0.66344,0.57676,0.60161,0.3326,1.876,1.9065,1.55802,0.00026,0.00026,0.00026
42,3670.19,1.5371,1.3056,1.32922,0.68152,0.57754,0.60937,0.34402,1.88414,1.88041,1.55922,0.00023525,0.00023525,0.00023525
43,3755.96,1.52609,1.28873,1.32303,0.68097,0.59538,0.61793,0.34927,1.88411,1.86059,1.56076,0.0002105,0.0002105,0.0002105
44,3841.64,1.51755,1.27032,1.31574,0.65668,0.59669,0.61812,0.35888,1.87902,1.86178,1.55564,0.00018575,0.00018575,0.00018575
45,3927.33,1.4969,1.24433,1.30629,0.6845,0.57583,0.61301,0.3551,1.87382,1.86018,1.55541,0.000161,0.000161,0.000161
46,4012.72,1.48746,1.23835,1.30103,0.67441,0.59483,0.6134,0.34789,1.87907,1.8434,1.55417,0.00013625,0.00013625,0.00013625
47,4098.29,1.48242,1.21236,1.2973,0.66723,0.585,0.61008,0.34278,1.88494,1.84938,1.56913,0.0001115,0.0001115,0.0001115
48,4184.44,1.47212,1.19667,1.28946,0.67748,0.57814,0.61259,0.34647,1.88658,1.84077,1.5648,8.675e-05,8.675e-05,8.675e-05
49,4270.76,1.46162,1.19459,1.28973,0.68219,0.58976,0.61558,0.3443,1.88671,1.83663,1.55992,6.2e-05,6.2e-05,6.2e-05
50,4356.3,1.44712,1.17969,1.27797,0.68558,0.58717,0.61697,0.34926,1.88348,1.83566,1.56083,3.725e-05,3.725e-05,3.725e-05
