epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.936,2.07115,2.85876,1.77695,0.60698,0.26551,0.28827,0.14995,2.48238,4.76104,2.27794,0.000416219,0.000416219,0.000416219
2,452.77,2.09937,2.41345,1.8123,0.59755,0.24155,0.25161,0.0976,2.45343,3.54915,2.22686,0.000816394,0.000816394,0.000816394
3,671.3,2.04692,2.34852,1.77815,0.29351,0.37988,0.22354,0.08332,2.49632,3.4742,2.2872,0.00120007,0.00120007,0.00120007
4,891.253,1.98793,2.25445,1.73716,0.42341,0.4133,0.35339,0.14181,2.32945,3.10973,2.0831,0.00117575,0.00117575,0.00117575
5,1110.03,1.93222,2.14663,1.68485,0.59677,0.36205,0.40321,0.21121,2.17502,2.75274,1.96931,0.001151,0.001151,0.001151
6,1329.32,1.88241,2.06416,1.65688,0.51244,0.47925,0.48774,0.25868,2.10897,2.53455,1.89504,0.00112625,0.00112625,0.00112625
7,1546.82,1.86207,2.02782,1.64565,0.5703,0.43968,0.45582,0.23128,2.11911,2.58627,1.92071,0.0011015,0.0011015,0.0011015
8,1764.61,1.82312,1.97102,1.62495,0.50235,0.42686,0.41598,0.19072,2.08525,2.64839,1.89665,0.00107675,0.00107675,0.00107675
9,1983.3,1.80527,1.93718,1.59431,0.47029,0.42513,0.41526,0.19374,2.05697,2.53331,1.86721,0.001052,0.001052,0.001052
10,2202.41,1.78884,1.90101,1.5838,0.50446,0.5067,0.49419,0.25313,2.05341,2.49918,1.88244,0.00102725,0.00102725,0.00102725
11,2420.88,1.74419,1.85364,1.56743,0.52345,0.48683,0.47753,0.23364,2.08039,2.42251,1.83064,0.0010025,0.0010025,0.0010025
12,2639.32,1.73893,1.81794,1.55642,0.53566,0.51399,0.5064,0.26937,2.01778,2.43006,1.8308,0.00097775,0.00097775,0.00097775
13,2858.08,1.71604,1.78352,1.54019,0.57289,0.50446,0.51006,0.27439,2.01183,2.46895,1.82958,0.000953,0.000953,0.000953
14,3075.99,1.70962,1.77514,1.52694,0.56582,0.506,0.51595,0.26133,1.97767,2.302,1.76881,0.00092825,0.00092825,0.00092825
15,3296.34,1.69625,1.73924,1.52226,0.54467,0.52001,0.5147,0.28243,1.99172,2.34161,1.80092,0.0009035,0.0009035,0.0009035
16,3513.82,1.66877,1.6936,1.49824,0.58048,0.55366,0.55142,0.29846,1.9677,2.29519,1.7605,0.00087875,0.00087875,0.00087875
17,3731.61,1.68757,1.72208,1.51001,0.54509,0.49576,0.48003,0.24855,1.97382,2.38461,1.77297,0.000854,0.000854,0.000854
18,3949.67,1.65727,1.68879,1.49549,0.57312,0.54585,0.53456,0.29746,1.94842,2.2483,1.75593,0.00082925,0.00082925,0.00082925
19,4169.37,1.65591,1.65699,1.48237,0.56636,0.5472,0.53931,0.28169,1.93983,2.24288,1.74272,0.0008045,0.0008045,0.0008045
20,4387.87,1.6341,1.65303,1.47889,0.56367,0.55883,0.54666,0.28651,1.93773,2.18115,1.74084,0.00077975,0.00077975,0.00077975
21,4607.34,1.62051,1.62224,1.47287,0.57525,0.53967,0.5437,0.27639,1.89899,2.18433,1.72461,0.000755,0.000755,0.000755
22,4830.38,1.59705,1.59367,1.4628,0.57785,0.55223,0.54757,0.30086,1.9172,2.17602,1.73192,0.00073025,0.00073025,0.00073025
23,5050.51,1.61277,1.62166,1.46582,0.56338,0.56253,0.53401,0.27179,1.92236,2.1907,1.7312,0.0007055,0.0007055,0.0007055
24,5268.99,1.6036,1.58604,1.45936,0.59081,0.56935,0.56121,0.30691,1.91586,2.17736,1.7145,0.00068075,0.00068075,0.00068075
25,5486.62,1.59127,1.56103,1.44622,0.55899,0.56154,0.55149,0.29346,1.92321,2.10109,1.73581,0.000656,0.000656,0.000656
26,5706.07,1.58029,1.54624,1.43798,0.62512,0.54022,0.56057,0.30404,1.8912,2.15961,1.70526,0.00063125,0.00063125,0.00063125
27,5923.29,1.57574,1.5468,1.43877,0.62716,0.56004,0.58929,0.31338,1.88118,2.04486,1.68149,0.0006065,0.0006065,0.0006065
28,6140.89,1.581,1.54388,1.43309,0.61958,0.59564,0.59429,0.33441,1.87006,2.07919,1.68937,0.00058175,0.00058175,0.00058175
29,6359.05,1.55211,1.49923,1.41772,0.59209,0.56668,0.57883,0.31631,1.86957,2.0994,1.68051,0.000557,0.000557,0.000557
30,6576.83,1.54304,1.50726,1.42737,0.63148,0.58732,0.59482,0.32594,1.87494,2.07919,1.67803,0.00053225,0.00053225,0.00053225
31,6795.96,1.53584,1.48442,1.41389,0.62039,0.59487,0.59438,0.33671,1.85656,2.04243,1.67531,0.0005075,0.0005075,0.0005075
32,7012.96,1.54321,1.48368,1.41724,0.62925,0.55676,0.59385,0.31329,1.86998,2.01284,1.67908,0.00048275,0.00048275,0.00048275
33,7235.72,1.51579,1.45107,1.40433,0.64055,0.61397,0.61709,0.33288,1.86493,1.99053,1.67176,0.000458,0.000458,0.000458
34,7453.09,1.52664,1.44256,1.41093,0.61222,0.60042,0.60173,0.32485,1.8779,1.99298,1.68355,0.00043325,0.00043325,0.00043325
35,7671.1,1.49699,1.42354,1.39071,0.62223,0.60175,0.61108,0.32206,1.86318,1.97539,1.66523,0.0004085,0.0004085,0.0004085
36,7887.78,1.51028,1.43366,1.39508,0.65246,0.58992,0.61405,0.33508,1.86048,1.98285,1.66959,0.00038375,0.00038375,0.00038375
37,8105.25,1.48821,1.41055,1.38821,0.66079,0.5898,0.61964,0.33902,1.84563,1.9249,1.6514,0.000359,0.000359,0.000359
38,8322.67,1.49118,1.40966,1.38774,0.65759,0.59601,0.61908,0.34844,1.8515,1.9577,1.65835,0.00033425,0.00033425,0.00033425
39,8539.8,1.4727,1.3753,1.37176,0.65633,0.61102,0.62437,0.34717,1.856,1.92389,1.65638,0.0003095,0.0003095,0.0003095
40,8756.89,1.46313,1.35929,1.36527,0.6615,0.59632,0.61357,0.32892,1.84598,1.92063,1.65374,0.00028475,0.00028475,0.00028475
41,8985.72,1.47145,1.26987,1.38331,0.6553,0.5996,0.61632,0.35126,1.84899,1.90444,1.65296,0.00026,0.00026,0.00026
42,9204.4,1.4436,1.23052,1.3647,0.67258,0.60198,0.62503,0.35198,1.84491,1.87879,1.64904,0.00023525,0.00023525,0.00023525
43,9421.06,1.43838,1.21287,1.36317,0.68184,0.59905,0.63623,0.35626,1.8485,1.88015,1.65831,0.0002105,0.0002105,0.0002105
44,9637.24,1.42183,1.19767,1.35631,0.6856,0.59573,0.62792,0.3568,1.85477,1.86222,1.66607,0.00018575,0.00018575,0.00018575
